I, [2016-05-10T17:09:05.240515 #15195]  INFO -- Kitchen: -----> Starting Kitchen (v1.3.1)
E, [2016-05-10T17:09:05.240923 #15195] ERROR -- Kitchen: ------Exception-------
E, [2016-05-10T17:09:05.240974 #15195] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-05-10T17:09:05.240994 #15195] ERROR -- Kitchen: Message: Kitchen YAML file /home/jpereira/REPOS/chef-repo/cookbooks/.kitchen.yml does not exist.
E, [2016-05-10T17:09:05.241025 #15195] ERROR -- Kitchen: ------Backtrace-------
E, [2016-05-10T17:09:05.241040 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-05-10T17:09:05.241059 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:139:in `data'
E, [2016-05-10T17:09:05.241074 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:118:in `suites'
E, [2016-05-10T17:09:05.241088 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:169:in `filter_instances'
E, [2016-05-10T17:09:05.241104 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:128:in `build_instances'
E, [2016-05-10T17:09:05.241118 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:104:in `instances'
E, [2016-05-10T17:09:05.241132 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-05-10T17:09:05.241145 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-05-10T17:09:05.241159 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-05-10T17:09:05.241172 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-05-10T17:09:05.241186 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:37:in `call'
E, [2016-05-10T17:09:05.241199 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:56:in `perform'
E, [2016-05-10T17:09:05.241215 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:161:in `block (2 levels) in <class:CLI>'
E, [2016-05-10T17:09:05.241240 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-05-10T17:09:05.241265 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-05-10T17:09:05.241286 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:304:in `invoke_task'
E, [2016-05-10T17:09:05.241328 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-05-10T17:09:05.241351 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-05-10T17:09:05.241366 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `block in <top (required)>'
E, [2016-05-10T17:09:05.241380 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2016-05-10T17:09:05.241394 #15195] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `<top (required)>'
E, [2016-05-10T17:09:05.241408 #15195] ERROR -- Kitchen: /usr/bin/kitchen:15:in `load'
E, [2016-05-10T17:09:05.241421 #15195] ERROR -- Kitchen: /usr/bin/kitchen:15:in `<main>'
E, [2016-05-10T17:09:05.241435 #15195] ERROR -- Kitchen: ----------------------
